X_mm,Y_mm,Z_mm
34.78,259.72,-1689.21
7.24,292.24,-1632.45
-27.01,175.30,-1787.85
-83.61,282.02,-1612.82
-132.16,172.22,-1753.27
-135.53,408.36,-1700.40
-148.36,215.17,-1685.97
-174.08,363.91,-1750.05
-191.75,317.91,-1810.89
