Marker,X_mm,Y_mm,Z_mm
1,34.78,259.72,-1689.21
2,7.24,292.24,-1632.45
3,-27.01,175.30,-1787.85
4,-83.61,282.02,-1612.82
5,-132.16,172.22,-1753.27
6,-135.53,408.36,-1700.40
7,-148.36,215.17,-1685.97
8,-174.08,363.91,-1750.05
9,-191.75,317.91,-1810.89
