Marker,X_mm,Y_mm,Z_mm
1,287.56,158.21,-1738.15
2,208.72,269.54,-1688.74
3,203.59,184.78,-1681.51
4,179.21,112.21,-1754.68
5,152.82,351.45,-1743.24
6,140.02,118.36,-1815.22
7,127.40,405.82,-1787.27
8,94.90,194.89,-1870.16
9,62.10,270.99,-1931.88
