X_mm,Y_mm,Z_mm
277.48,279.32,-1782.22
249.16,322.13,-1733.59
220.79,168.50,-1854.00
160.30,309.62,-1706.88
117.62,165.21,-1814.11
99.80,221.72,-1757.93
93.75,406.02,-1819.29
57.73,347.69,-1854.54
43.42,286.90,-1901.40
